社名,本社所在地,設立,転職エージェント数,職業紹介許可番号,紹介事業許可年,ホームページ,注力職種,注力エリア
アイアルマーズ株式会社,〒108-0071 東京都港区白金台3-19-6白金台ビル4階,2006年,4名,登録なし,2014年,http://www.i-arumas.jp/,営業 / 管理・事務 / 建築・土木,関東 / 北海道・東北
株式会社IODキャリア,〒100-0005 東京都千代田区丸の内一丁目8番3号　丸の内トラストタワー本館5階,1998年12月,登録なし,登録なし,平成21年05月01,https://www.iod-career.co.jp/,営業 / 医療・福祉 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,関東 / 関西 / 東海
株式会社アイコニックジャパン,〒104-0041 東京都中央区新富２丁目４番５号 ニュー新富ビル４F 東京メトロ新富町駅　徒歩1分,平成24年4月,登録なし,登録なし,平成24年,https://iconicjob.jp/,営業 / 企画・経営 / 管理・事務 / コンサルタント・金融・不動産専門職 / ITエンジニア,登録なし
合同会社IJT,〒232-0071 神奈川県横浜市南区永田北3―28,2017年8月,5名,登録なし,2017年11月,https://www.kaigo-village.com/,医療・福祉,関東
株式会社アイソリューション,〒103-0014 東京都中央区日本橋蛎殻町１－１８－２ 中野オイスタービル５F,2013年4月,登録なし,登録なし,2014年,http://isolution.co.jp/,建築・土木 / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / コンサルタント・金融・不動産専門職 / 技能工・設備・倉庫・農林水産・他,関東 / 関西 / 東海
株式会社アイティジェイ（EXA Bridge）,〒110-0015 東京都台東区東上野5-1-8 上野富士ビル3F,1995年4月20日,登録なし,登録なし,2013年5月1日,http://exa-bridge.com/,企画・経営 / 営業 / 管理・事務 / 販売・フード・アミューズメント / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア,関東 / 関西 / 東海 / 九州
株式会社アイデム,〒160-0022 東京都新宿区新宿1-4-10　アイデム本社ビル,1971年2月,30名,登録なし,2010年7月,http://smartagent.jp,営業,登録なし
株式会社アイデム　キャリアエージェント西日本,〒550-0005 大阪府大阪市西区西本町1-13-43 アイデム西本町ビル,1971年2月,10名,登録なし,2010年7月1日,http://smartagent.jp,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関西
株式会社アイデンティティー,〒150-0036 東京都渋谷区南平台町15-13　帝都渋谷ビル8階,2008年8月,8名,登録なし,2012年,http://id-entity.jp,ITエンジニア / クリエイティブ / WEB・インターネット・ゲーム,関東
株式会社アイ・ヒューマンサーチ,〒103-0022 東京都中央区日本橋室町４−６−２ 菱華ビル7階,2007年1月,登録なし,登録なし,２００７年,http://www.i-humans.co.jp/,管理・事務 / 営業 / ITエンジニア,登録なし
IPCM株式会社,〒130-0021 東京都墨田区緑1-2-10,平成24年11月1日,登録なし,登録なし,平成29年3月1日,登録なし,営業 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / WEB・インターネット・ゲーム / ITエンジニア,関東
株式会社アカネエージェンシー,〒110-0015 東京都台東区東上野2-1-13 東上野センタービル3階,昭和53年12月26日,2名,登録なし,平成29年6月1日,http://www.akane.co.jp,ITエンジニア / 営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 美容・ホテル・ブライダル・交通 / 医療・福祉 / クリエイティブ / WEB・インターネット・ゲーム / 建築・土木 / 医薬・食品・化学・素材 / 技能工・設備・倉庫・農林水産・他,関東 / 北海道・東北 / 東海
アクシードキャリア株式会社,〒102-0093 東京都千代田区平河町1丁目6番15号USビル6階,2017年6月,登録なし,登録なし,2017年10月,登録なし,営業 / 企画・経営 / 管理・事務,登録なし
株式会社アクセス２２,〒540-0026 大阪府大阪市中央区内本町１丁目３‐６　アティックビル３階,1990年11月2日,4名,登録なし,平成13年06月01,http://www.access22.co.jp/,建築・土木,関西 / 北海道・東北 / 北信越 / 関東 / 東海 / 中国・四国 / 九州
株式会社アクティブアンドカンパニー,〒102-0074 東京都千代田区九段南3-8-11 飛栄九段ビル5階,2006年1月5日,登録なし,登録なし,2006年,http://www.aand.co.jp/,営業 / 企画・経営 / 管理・事務 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア,関東 / 関西 / 東海 / 九州
株式会社アクト・テクニカルサポート,〒107-0052 東京都港区赤坂4-1-33 赤坂中西ビル5F,1989年4月1日,3名,登録なし,1999年,http://www.act.co.jp/,建築・土木,関東
株式会社アスカナ・コンサルティング,〒104-0061 東京都中央区銀座7丁目13番6号 サガミビル2F,2015年7月,登録なし,登録なし,2016年5月,http://asukana.co.jp/,企画・経営 / 営業 / 管理・事務 / 美容・ホテル・ブライダル・交通 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / クリエイティブ / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材 / 公共サービス,関東 / 北海道・東北 / 北信越 / 関西 / 東海 / 中国・四国 / 九州
アスキャリア【株式会社doubLe運営】,〒160-0023 東京都新宿区西新宿1-22-15 グラフィオ西新宿13Ｆ,2008年1月11日,1名,登録なし,平成24年12月1日,http://asu-career.jp/,営業,関東
アソート株式会社,〒530-0001 大阪府大阪市北区梅田1-2-2 大阪駅前第2ビル4階,平成9年4月,5名,登録なし,平成9年11月1日,http://www.assort.co.jp,医薬・食品・化学・素材 / 営業 / 企画・経営 / 電気・電子・機械・半導体,関西 / 関東 / 東海
株式会社あっぱれ,〒980-0803 宮城県仙台市青葉区国分町1丁目8-13　仙台協立第１ビル3階,2014年8月,登録なし,登録なし,2014年年11月,http://www.appare-japan.com,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 電気・電子・機械・半導体,北海道・東北 / 関東 / 中国・四国
株式会社アップグレイド,〒101-0038 東京都千代田区神田美倉町10　喜助新神田ビル5F,2015年11月16日,6名,登録なし,2016年,http://www.upgrade1.co.jp,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / 保育・教育・通訳 / コンサルタント・金融・不動産専門職 / WEB・インターネット・ゲーム / ITエンジニア / 電気・電子・機械・半導体 / 医薬・食品・化学・素材,【国内】 関東 / 北海道・東北 / 関西 / 東海 / 九州 【海外】 アメリカ・カナダ / ヨーロッパ
株式会社アドバハンティングサービス,〒460-0008 愛知県名古屋市中区栄3-14-7　RICCO栄 8階  【東京支社】 東京都新宿区西新宿1-26-2　新宿野村ビル11F,2016年7月,登録なし,登録なし,平成28年7月1日,http://www.adva-hs.jp,営業 / 管理・事務 / 販売・フード・アミューズメント / 医療・福祉 / 保育・教育・通訳 / ITエンジニア / 電気・電子・機械・半導体 / 建築・土木 / 技能工・設備・倉庫・農林水産・他,東海 / 北信越 / 関東
アドメイク株式会社,〒150-0002 東京都渋谷区渋谷2-12-15 日本薬学会長井記念館6F 各線渋谷駅から徒歩7分 ※ヒカリエ方面から出ていただくとスムーズに到着します,2008年5月8日,7名,登録なし,2016年,http://www.e-tenki.co.jp/,営業 / 企画・経営 / 管理・事務 / 販売・フード・アミューズメント / WEB・インターネット・ゲーム,関東 / 関西 / 東海
アニコム フロンティア株式会社,〒160-0023 東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー39階,2005年2月25日,3名,登録なし,2015年,http://www.anicom-frontier.com/,医療・福祉 / クリエイティブ / ITエンジニア / 医薬・食品・化学・素材,北海道・東北 / 北信越 / 関東 / 関西 / 東海 / 中国・四国 / 九州
